Month,L,M,S,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3
0,0.3809,3.2322,0.14171,2,2.4,2.8,3.2,3.7,4.2,4.8
1,0.1714,4.1873,0.13724,2.7,3.2,3.6,4.2,4.8,5.5,6.2
2,0.0962,5.1282,0.13,3.4,3.9,4.5,5.1,5.8,6.6,7.5
3,0.0402,5.8458,0.12619,4,4.5,5.2,5.8,6.6,7.5,8.5
4,-0.005,6.4237,0.12402,4.4,5,5.7,6.4,7.3,8.2,9.3
5,-0.043,6.8985,0.12274,4.8,5.4,6.1,6.9,7.8,8.8,10
6,-0.0756,7.297,0.12204,5.1,5.7,6.5,7.3,8.2,9.3,10.6
7,-0.1039,7.6422,0.12178,5.3,6,6.8,7.6,8.6,9.8,11.1
8,-0.1288,7.9487,0.12181,5.6,6.3,7,7.9,9,10.2,11.6
9,-0.1507,8.2254,0.12199,5.8,6.5,7.3,8.2,9.3,10.5,12
10,-0.17,8.48,0.12223,5.9,6.7,7.5,8.5,9.6,10.9,12.4
11,-0.1872,8.7192,0.12247,6.1,6.9,7.7,8.7,9.9,11.2,12.8
12,-0.2024,8.9481,0.12268,6.3,7,7.9,8.9,10.1,11.5,13.1
13,-0.2158,9.1699,0.12283,6.4,7.2,8.1,9.2,10.4,11.8,13.5
14,-0.2278,9.387,0.12294,6.6,7.4,8.3,9.4,10.6,12.1,13.8
15,-0.2384,9.6008,0.12299,6.7,7.6,8.5,9.6,10.9,12.4,14.1
16,-0.2478,9.8124,0.12303,6.9,7.7,8.7,9.8,11.1,12.6,14.5
17,-0.2562,10.0226,0.12306,7,7.9,8.9,10,11.4,12.9,14.8
18,-0.2637,10.2315,0.12309,7.2,8.1,9.1,10.2,11.6,13.2,15.1
19,-0.2703,10.4393,0.12315,7.3,8.2,9.2,10.4,11.8,13.5,15.4
20,-0.2762,10.6464,0.12323,7.5,8.4,9.4,10.6,12.1,13.7,15.7
21,-0.2815,10.8534,0.12335,7.6,8.6,9.6,10.9,12.3,14,16
22,-0.2862,11.0608,0.1235,7.8,8.7,9.8,11.1,12.5,14.3,16.4
23,-0.2903,11.2688,0.12369,7.9,8.9,10,11.3,12.8,14.6,16.7
24,-0.2941,11.4775,0.1239,8.1,9,10.2,11.5,13,14.8,17
25,-0.2975,11.6864,0.12414,8.2,9.2,10.3,11.7,13.3,15.1,17.3
26,-0.3005,11.8947,0.12441,8.4,9.4,10.5,11.9,13.5,15.4,17.7
27,-0.3032,12.1015,0.12472,8.5,9.5,10.7,12.1,13.7,15.7,18
28,-0.3057,12.3059,0.12506,8.6,9.7,10.9,12.3,14,16,18.3
29,-0.308,12.5073,0.12545,8.8,9.8,11.1,12.5,14.2,16.2,18.7
30,-0.3101,12.7055,0.12587,8.9,10,11.2,12.7,14.4,16.5,19
31,-0.312,12.9006,0.12633,9,10.1,11.4,12.9,14.7,16.8,19.3
32,-0.3138,13.093,0.12683,9.1,10.3,11.6,13.1,14.9,17.1,19.6
33,-0.3155,13.2837,0.12737,9.3,10.4,11.7,13.3,15.1,17.3,20
34,-0.3171,13.4731,0.12794,9.4,10.5,11.9,13.5,15.4,17.6,20.3
35,-0.3186,13.6618,0.12855,9.5,10.7,12,13.7,15.6,17.9,20.6
36,-0.3201,13.8503,0.12919,9.6,10.8,12.2,13.9,15.8,18.1,20.9
37,-0.3216,14.0385,0.12988,9.7,10.9,12.4,14,16,18.4,21.3
38,-0.323,14.2265,0.13059,9.8,11.1,12.5,14.2,16.3,18.7,21.6
39,-0.3243,14.414,0.13135,9.9,11.2,12.7,14.4,16.5,19,22
40,-0.3257,14.601,0.13213,10.1,11.3,12.8,14.6,16.7,19.2,22.3
41,-0.327,14.7873,0.13293,10.2,11.5,13,14.8,16.9,19.5,22.7
42,-0.3283,14.9727,0.13376,10.3,11.6,13.1,15,17.2,19.8,23
43,-0.3296,15.1573,0.1346,10.4,11.7,13.3,15.2,17.4,20.1,23.4
44,-0.3309,15.341,0.13545,10.5,11.8,13.4,15.3,17.6,20.4,23.7
45,-0.3322,15.524,0.1363,10.6,12,13.6,15.5,17.8,20.7,24.1
46,-0.3335,15.7064,0.13716,10.7,12.1,13.7,15.7,18.1,20.9,24.5
47,-0.3348,15.8882,0.138,10.8,12.2,13.9,15.9,18.3,21.2,24.8
48,-0.3361,16.0697,0.13884,10.9,12.3,14,16.1,18.5,21.5,25.2
49,-0.3374,16.2511,0.13968,11,12.4,14.2,16.3,18.8,21.8,25.5
50,-0.3387,16.4322,0.14051,11.1,12.6,14.3,16.4,19,22.1,25.9
51,-0.34,16.6133,0.14132,11.2,12.7,14.5,16.6,19.2,22.4,26.3
52,-0.3414,16.7942,0.14213,11.3,12.8,14.6,16.8,19.4,22.6,26.6
53,-0.3427,16.9748,0.14293,11.4,12.9,14.8,17,19.7,22.9,27
54,-0.344,17.1551,0.14371,11.5,13,14.9,17.2,19.9,23.2,27.4
55,-0.3453,17.3347,0.14448,11.6,13.2,15.1,17.3,20.1,23.5,27.7
56,-0.3466,17.5136,0.14525,11.7,13.3,15.2,17.5,20.3,23.8,28.1
57,-0.3479,17.6916,0.146,11.8,13.4,15.3,17.7,20.6,24.1,28.5
58,-0.3492,17.8686,0.14675,11.9,13.5,15.5,17.9,20.8,24.4,28.8
59,-0.3505,18.0445,0.14748,12,13.6,15.6,18,21,24.6,29.2
60,-0.3518,18.2193,0.14821,12.1,13.7,15.8,18.2,21.2,24.9,29.5
61,-0.4681,18.2579,0.14295,12.352,13.961,15.899,18.258,21.169,24.817,29.468
62,-0.4711,18.4329,0.1435,12.456,14.083,16.043,18.433,21.386,25.09,29.823
63,-0.4742,18.6073,0.14404,12.559,14.204,16.187,18.607,21.601,25.363,30.178
64,-0.4773,18.7811,0.14459,12.662,14.324,16.33,18.781,21.817,25.637,30.535
65,-0.4803,18.9545,0.14514,12.764,14.444,16.473,18.954,22.032,25.911,30.893
66,-0.4834,19.1276,0.14569,12.866,14.564,16.616,19.128,22.247,26.185,31.253
67,-0.4864,19.3004,0.14624,12.968,14.683,16.758,19.3,22.462,26.46,31.614
68,-0.4894,19.473,0.14679,13.069,14.801,16.899,19.473,22.677,26.735,31.977
69,-0.4924,19.6455,0.14735,13.169,14.919,17.041,19.646,22.893,27.011,32.342
70,-0.4954,19.818,0.1479,13.27,15.038,17.182,19.818,23.108,27.288,32.708
71,-0.4984,19.9908,0.14845,13.371,15.156,17.323,19.991,23.324,27.566,33.077
72,-0.5013,20.1639,0.149,13.471,15.274,17.465,20.164,23.541,27.845,33.448
73,-0.5043,20.3377,0.14955,13.572,15.393,17.607,20.338,23.759,28.126,33.822
74,-0.5072,20.5124,0.1501,13.673,15.512,17.75,20.512,23.978,28.409,34.2
75,-0.51,20.6885,0.15065,13.775,15.632,17.893,20.688,24.199,28.695,34.581
76,-0.5129,20.8661,0.1512,13.878,15.753,18.038,20.866,24.423,28.983,34.968
77,-0.5157,21.0457,0.15175,13.982,15.875,18.185,21.046,24.648,29.276,35.36
78,-0.5185,21.2274,0.1523,14.087,15.998,18.333,21.227,24.877,29.572,35.757
79,-0.5213,21.4113,0.15284,14.193,16.124,18.483,21.411,25.108,29.871,36.158
80,-0.524,21.5979,0.15339,14.301,16.25,18.635,21.598,25.343,30.176,36.568
81,-0.5268,21.7872,0.15393,14.411,16.379,18.79,21.787,25.581,30.485,36.983
82,-0.5294,21.9795,0.15448,14.522,16.51,18.947,21.98,25.823,30.799,37.406
83,-0.5321,22.1751,0.15502,14.635,16.643,19.106,22.175,26.069,31.118,37.836
84,-0.5347,22.374,0.15556,14.75,16.779,19.268,22.374,26.32,31.443,38.274
85,-0.5372,22.5762,0.1561,14.867,16.916,19.433,22.576,26.574,31.773,38.719
86,-0.5398,22.7816,0.15663,14.987,17.056,19.601,22.782,26.832,32.109,39.171
87,-0.5423,22.9904,0.15717,15.108,17.199,19.772,22.99,27.095,32.45,39.632
88,-0.5447,23.2025,0.1577,15.231,17.343,19.945,23.202,27.362,32.796,40.099
89,-0.5471,23.418,0.15823,15.356,17.49,20.121,23.418,27.633,33.149,40.574
90,-0.5495,23.6369,0.15876,15.483,17.639,20.299,23.637,27.908,33.507,41.058
91,-0.5518,23.8593,0.15928,15.612,17.791,20.481,23.859,28.188,33.87,41.549
92,-0.5541,24.0853,0.1598,15.744,17.946,20.666,24.085,28.472,34.239,42.048
93,-0.5563,24.3149,0.16032,15.877,18.102,20.853,24.315,28.761,34.614,42.555
94,-0.5585,24.5482,0.16084,16.013,18.262,21.044,24.548,29.054,34.996,43.072
95,-0.5606,24.7853,0.16135,16.151,18.424,21.238,24.785,29.352,35.383,43.596
96,-0.5627,25.0262,0.16186,16.291,18.588,21.435,25.026,29.655,35.776,44.128
97,-0.5647,25.271,0.16237,16.434,18.756,21.635,25.271,29.963,36.176,44.67
98,-0.5667,25.5197,0.16287,16.579,18.926,21.838,25.52,30.275,36.582,45.22
99,-0.5686,25.7721,0.16337,16.726,19.098,22.045,25.772,30.593,36.994,45.778
100,-0.5704,26.0284,0.16386,16.875,19.274,22.254,26.028,30.914,37.412,46.343
101,-0.5722,26.2883,0.16435,17.027,19.452,22.467,26.288,31.241,37.836,46.918
102,-0.574,26.5519,0.16483,17.181,19.632,22.683,26.552,31.572,38.265,47.499
103,-0.5757,26.819,0.16532,17.337,19.815,22.901,26.819,31.907,38.702,48.092
104,-0.5773,27.0896,0.16579,17.495,20.001,23.123,27.09,32.247,39.142,48.688
105,-0.5789,27.3635,0.16626,17.655,20.188,23.347,27.364,32.591,39.589,49.293
106,-0.5804,27.6406,0.16673,17.817,20.378,23.574,27.641,32.939,40.041,49.906
107,-0.5819,27.9208,0.16719,17.98,20.57,23.803,27.921,33.29,40.497,50.525
108,-0.5833,28.204,0.16764,18.146,20.764,24.035,28.204,33.645,40.958,51.149
109,-0.5847,28.4901,0.16809,18.313,20.96,24.27,28.49,34.004,41.424,51.781
110,-0.5859,28.7791,0.16854,18.482,21.158,24.506,28.779,34.367,41.895,52.419
111,-0.5872,29.0711,0.16897,18.653,21.359,24.745,29.071,34.733,42.37,53.063
112,-0.5883,29.3663,0.16941,18.825,21.561,24.987,29.366,35.104,42.851,53.714
113,-0.5895,29.6646,0.16983,19,21.766,25.232,29.665,35.478,43.335,54.371
114,-0.5905,29.9663,0.17025,19.176,21.973,25.479,29.966,35.856,43.826,55.035
115,-0.5915,30.2715,0.17066,19.355,22.183,25.729,30.272,36.238,44.321,55.705
116,-0.5925,30.5805,0.17107,19.536,22.395,25.982,30.58,36.625,44.823,56.385
117,-0.5934,30.8934,0.17146,19.72,22.61,26.239,30.893,37.017,45.329,57.069
118,-0.5942,31.2105,0.17186,19.906,22.828,26.499,31.21,37.414,45.843,57.764
119,-0.595,31.5319,0.17224,20.095,23.049,26.763,31.532,37.815,46.363,58.465
120,-0.5958,31.8578,0.17262,20.286,23.274,27.031,31.858,38.223,46.89,59.177